ID_RESERVASI,TGL_CHECKIN,TGL_CHECKOUT,CUSTOMER_ID_CUSTOMER,KARYAWAN_ID_KARYAWAN,KAMAR_ID_KAMAR
601,2024-06-26T00:00:00,2024-07-01T00:00:00,601,,2
602,2023-11-27T00:00:00,2023-11-27T00:00:00,602,,1
603,2023-04-06T00:00:00,2023-04-06T00:00:00,603,,1
604,2024-01-07T00:00:00,2024-01-09T00:00:00,604,,2
605,2024-05-21T00:00:00,2024-05-26T00:00:00,605,,2
606,2023-11-22T00:00:00,2023-11-24T00:00:00,606,,1
607,2024-02-23T00:00:00,2024-02-23T00:00:00,607,,1
608,2023-07-15T00:00:00,2023-07-17T00:00:00,608,,2
609,2024-03-27T00:00:00,2024-04-02T00:00:00,609,,2
610,2024-05-10T00:00:00,2024-05-14T00:00:00,610,,1
611,2023-01-06T00:00:00,2023-01-11T00:00:00,611,,1
612,2023-12-30T00:00:00,2024-01-02T00:00:00,612,,2
613,2024-05-25T00:00:00,2024-05-30T00:00:00,613,,2
614,2023-08-31T00:00:00,2023-09-03T00:00:00,614,,2
615,2023-12-21T00:00:00,2023-12-26T00:00:00,615,,2
616,2023-04-14T00:00:00,2023-04-15T00:00:00,616,,2
617,2024-05-04T00:00:00,2024-05-08T00:00:00,617,,2
618,2023-08-28T00:00:00,2023-09-02T00:00:00,618,,2
619,2024-03-30T00:00:00,2024-03-31T00:00:00,619,,2
620,2023-12-28T00:00:00,2023-12-30T00:00:00,620,,2
621,2023-01-30T00:00:00,2023-01-31T00:00:00,621,,2
622,2023-08-16T00:00:00,2023-08-17T00:00:00,622,,2
623,2023-01-07T00:00:00,2023-01-12T00:00:00,623,,2
624,2023-08-25T00:00:00,2023-08-27T00:00:00,624,,2
625,2024-03-17T00:00:00,2024-03-18T00:00:00,625,,2
626,2023-09-09T00:00:00,2023-09-10T00:00:00,626,,2
627,2024-02-18T00:00:00,2024-02-21T00:00:00,627,,1
628,2023-01-01T00:00:00,2023-01-05T00:00:00,628,,1
629,2023-06-30T00:00:00,2023-07-05T00:00:00,629,,1
630,2023-05-17T00:00:00,2023-05-20T00:00:00,630,,1
631,2024-02-01T00:00:00,2024-02-01T00:00:00,631,,1
632,2024-04-11T00:00:00,2024-04-11T00:00:00,632,,1
633,2023-06-06T00:00:00,2023-06-12T00:00:00,633,,1
634,2023-08-09T00:00:00,2023-08-11T00:00:00,634,,1
635,2024-05-11T00:00:00,2024-05-11T00:00:00,635,,1
636,2023-08-09T00:00:00,2023-08-10T00:00:00,636,,1
637,2024-01-12T00:00:00,2024-01-13T00:00:00,637,,1
638,2023-07-16T00:00:00,2023-07-20T00:00:00,638,,1
639,2024-03-05T00:00:00,2024-03-11T00:00:00,639,,1
640,2023-02-24T00:00:00,2023-03-01T00:00:00,640,,1
641,2023-11-15T00:00:00,2023-11-17T00:00:00,641,,1
642,2023-12-17T00:00:00,2023-12-23T00:00:00,642,,1
643,2024-04-11T00:00:00,2024-04-13T00:00:00,643,,1
644,2023-09-07T00:00:00,2023-09-13T00:00:00,644,,1
645,2023-12-02T00:00:00,2023-12-04T00:00:00,645,,1
646,2023-12-04T00:00:00,2023-12-10T00:00:00,646,,1
647,2023-02-11T00:00:00,2023-02-15T00:00:00,647,,1
648,2023-06-24T00:00:00,2023-06-30T00:00:00,648,,1
649,2023-06-04T00:00:00,2023-06-04T00:00:00,649,,1
650,2024-05-06T00:00:00,2024-05-08T00:00:00,650,,1
651,2024-05-18T00:00:00,2024-05-20T00:00:00,651,,1
652,2023-07-19T00:00:00,2023-07-22T00:00:00,652,,1
653,2023-08-16T00:00:00,2023-08-17T00:00:00,653,,1
659,2023-03-29T00:00:00,2023-04-01T00:00:00,659,,1
661,2023-10-15T00:00:00,2023-10-20T00:00:00,661,,1
663,2023-07-05T00:00:00,2023-07-07T00:00:00,663,,1
667,2023-11-05T00:00:00,2023-11-08T00:00:00,667,,1
669,2023-05-12T00:00:00,2023-05-12T00:00:00,669,,1
671,2024-04-23T00:00:00,2024-04-28T00:00:00,671,,1
673,2024-06-25T00:00:00,2024-06-25T00:00:00,673,,1
674,2023-10-03T00:00:00,2023-10-08T00:00:00,674,,1
675,2023-06-26T00:00:00,2023-06-29T00:00:00,675,,1
677,2024-04-05T00:00:00,2024-04-06T00:00:00,677,,1
679,2023-01-04T00:00:00,2023-01-09T00:00:00,679,,1
685,2023-10-03T00:00:00,2023-10-05T00:00:00,685,,1
689,2024-02-15T00:00:00,2024-02-18T00:00:00,689,,1
693,2023-09-29T00:00:00,2023-10-04T00:00:00,693,,1
695,2023-07-06T00:00:00,2023-07-09T00:00:00,695,,1
697,2024-06-09T00:00:00,2024-06-15T00:00:00,697,,1
699,2023-02-16T00:00:00,2023-02-19T00:00:00,699,,1
700,2023-09-27T00:00:00,2023-10-02T00:00:00,700,,1
258,2023-06-03T00:00:00,2023-06-03T00:00:00,258,,2
259,2023-05-02T00:00:00,2023-05-08T00:00:00,259,,2
260,2023-03-10T00:00:00,2023-03-10T00:00:00,260,,2
261,2024-04-19T00:00:00,2024-04-20T00:00:00,261,,1
262,2023-09-27T00:00:00,2023-09-27T00:00:00,262,,1
263,2024-03-16T00:00:00,2024-03-18T00:00:00,263,,2
264,2024-01-02T00:00:00,2024-01-08T00:00:00,264,,2
265,2023-07-22T00:00:00,2023-07-25T00:00:00,265,,1
266,2023-12-17T00:00:00,2023-12-17T00:00:00,266,,2
267,2023-04-02T00:00:00,2023-04-03T00:00:00,267,,2
